Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,56.0,-73.5,-90.0,top
C10,22uF,C_0805_2012Metric,47.0,-63.0,180.0,top
C11,100nF,C_0402_1005Metric,100.55,-92.6375,180.0,top
C12,22uF,C_0805_2012Metric,120.5,-70.5,90.0,top
C13,22uF,C_0805_2012Metric,112.0,-82.5,-90.0,top
C14,100nF,C_0402_1005Metric,109.0,-82.48,-90.0,top
C15,1nF,C_0603_1608Metric,56.5,-91.0,0.0,top
C16,1nF,C_0603_1608Metric,94.5,-64.5,180.0,top
C2,100nF,C_0402_1005Metric,60.5,-73.5,-90.0,top
C3,470pF,C_0603_1608Metric,61.0,-78.5,180.0,top
C4,100nF,C_0402_1005Metric,61.0,-70.5,180.0,top
C5,220nF,C_0805_2012Metric,70.0,-83.0,180.0,top
C6,100nF,C_0402_1005Metric,68.0,-80.5,-90.0,top
C7,18pF,C_0603_1608Metric,87.5,-91.5,-90.0,top
C8,10uF,C_0805_2012Metric,88.0,-88.0,0.0,top
C9,22uF,C_0805_2012Metric,58.5,-73.5,-90.0,top
D1,SS34,D_SMA,85.5,-69.0,180.0,top
D2,SS34,D_SMA,85.5,-64.5,0.0,top
D3,LED green,R_0805_2012Metric,66.0,-66.5,90.0,top
D4,LED yellow,R_0805_2012Metric,63.0,-66.5,90.0,top
L1,33uH,L_TDK_SLF12575,82.5,-79.0,0.0,top
L2,4.7uH,L_Sunlord_MWSA0603S,119.0,-81.5,180.0,top
R1,2.4k,R_0603_1608Metric,66.0,-70.5,-90.0,top
R10,200m,R_2512_6332Metric,81.0,-90.0,180.0,top
R11,100,R_0805_2012Metric,97.55,-92.6375,180.0,top
R13,VoltageSelB,R_1206_3216Metric,116.5,-72.0,0.0,top
R14,10M,R_0603_1608Metric,108.175,-76.5,180.0,top
R15,10M,R_0603_1608Metric,108.175,-79.0,180.0,top
R16,10M,R_0603_1608Metric,95.5,-72.0,90.0,top
R17,10M,R_0603_1608Metric,94.5,-67.0,180.0,top
R18,1M,R_0402_1005Metric,56.5,-89.0,0.0,top
R19,10M,R_0603_1608Metric,56.0,-80.5,-90.0,top
R2,1.8k,R_0603_1608Metric,96.55,-84.1375,180.0,top
R3,3.9k,R_0603_1608Metric,63.5,-81.5,-90.0,top
R4,120,R_0402_1005Metric,71.5,-80.5,-90.0,top
R5,2.4k,R_0603_1608Metric,63.5,-70.5,-90.0,top
R6,48.7k,R_0402_1005Metric,90.5,-93.5,0.0,top
R7,23.7k,R_0402_1005Metric,90.0,-91.5,-90.0,top
R8,100k,R_0402_1005Metric,66.0,-80.5,0.0,top
R9,1M,R_0402_1005Metric,61.0,-80.5,180.0,top
RV1,Poti 10k,Potentiometer_Bourns_3224W_Vertical,64.0,-87.0,180.0,top
T1,SI4435DY,SOP-8_3.9x4.9mm_P1.27mm,75.0,-65.5,270.0,top
T2,AO3400A,SOT-23,102.05,-80.1375,0.0,top
T3,AO3400A,SOT-23,97.05,-80.1375,180.0,top
TH1,Thermistor NTC 10k,R_0603_1608Metric,61.0,-76.5,180.0,top
U1,CN3722,TSSOP-16_4.4x5mm_P0.65mm,67.0,-76.0,270.0,top
U2,HY2112,SOT-23-6,100.05,-88.1375,90.0,top
U3,MAX17224ELT+T,UDFN-6_L2.0-W2.0-P0.65-BL-1,116.5,-75.5,90.0,top
